y,u
0.000000,0.000000
0.054700,-0.037200
0.062500,-0.041900
0.070300,-0.047700
0.101600,-0.064300
0.171900,-0.101500
0.281300,-0.156600
0.453100,-0.210900
0.500000,-0.205800
0.617200,-0.136400
0.734400,0.003300
0.851600,0.231500
0.953100,0.687200
0.960900,0.737200
0.968800,0.788700
0.976600,0.841200
1.000000,1.000000
